DSCF0002,Amazons latest delivery drone
DSCF0003,Christmas decorations
DSCF0004,Rug rat
DSCF0013,Winter walk in the railway
DSCF0017,Everything *and* the kitchen sink
DSCF0018,Lunchtime tidbits
DSCF0025,Another dedicated team
DSCF0036,Kitty cuddle time!
DSCF0054,Who's that handsome chap!
DSCF0069,The christmas pudding!
DSCF0107,Winter walk with the oldies
DSCF0110,Mum and Dad
DSCF0117,Switching up his nap schedule!
DSCF0125,Down and out
DSCF0126,My wee Kia Picanto
DSCF0155,Clean balls!
DSCF0159,Roslin in the snow
DSCF0171,Pentland View
DSCF0172,Pentland View Two
DSCF0186,Frozen swans at Straiton Pond
DSCF0192,Bike ride on ice!
DSCF0194,The Poppies
DSCF0196,New brew!
DSCF0199,The king surveys his kingdom
DSCF0200,"Dont fall, Harry!"
DSCF0201,New allotment
DSCF0202,Sniffin' the fence
DSCF0204,Missing his sister
DSCF0205,Missing his sister two
